RELEVANT GO TERMS FOR ATHEROSCLEROSIS
-------------------------------------
GO:0016055: Wnt signaling pathway (p-adj=0.00000, Count=85)
hsa04912: GnRH signaling pathway (p-adj=0.00298, Count=20)
hsa04071: Sphingolipid signaling pathway (p-adj=0.00303, Count=24)
hsa04931: Insulin resistance (p-adj=0.00356, Count=22)
hsa05414: Dilated cardiomyopathy (p-adj=0.00486, Count=21)
hsa04722: Neurotrophin signaling pathway (p-adj=0.00493, Count=23)
hsa04150: mTOR signaling pathway (p-adj=0.00493, Count=28)
hsa04022: cGMP-PKG signaling pathway (p-adj=0.00493, Count=29)
hsa04910: Insulin signaling pathway (p-adj=0.00579, Count=25)
hsa04270: Vascular smooth muscle contraction (p-adj=0.00762, Count=24)
hsa04070: Phosphatidylinositol signaling system (p-adj=0.00886, Count=19)
hsa05410: Hypertrophic cardiomyopathy (p-adj=0.00985, Count=19)
hsa04152: AMPK signaling pathway (p-adj=0.01015, Count=22)
hsa04915: Estrogen signaling pathway (p-adj=0.01165, Count=24)
hsa04072: Phospholipase D signaling pathway (p-adj=0.01377, Count=25)
hsa05207: Chemical carcinogenesis - receptor activation (p-adj=0.01414, Count=33)
hsa04310: Wnt signaling pathway (p-adj=0.01430, Count=28)
hsa04115: p53 signaling pathway (p-adj=0.01691, Count=15)
hsa04020: Calcium signaling pathway (p-adj=0.01838, Count=37)
hsa04371: Apelin signaling pathway (p-adj=0.02239, Count=23)
hsa04820: Cytoskeleton in muscle cells (p-adj=0.02239, Count=34)
hsa04390: Hippo signaling pathway (p-adj=0.02292, Count=25)
hsa04512: ECM-receptor interaction (p-adj=0.03099, Count=16)
hsa04370: VEGF signaling pathway (p-adj=0.03261, Count=12)
hsa04926: Relaxin signaling pathway (p-adj=0.03261, Count=21)
hsa05412: Arrhythmogenic right ventricular cardiomyopathy (p-adj=0.04344, Count=15)
hsa04066: HIF-1 signaling pathway (p-adj=0.04344, Count=18)
hsa04340: Hedgehog signaling pathway (p-adj=0.04417, Count=11)
hsa04917: Prolactin signaling pathway (p-adj=0.04417, Count=13)


