"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010631","epithelial cell migration","30/1671","97/18986",0.309278350515464,3.51403875696385,7.71144259788406,4.88872075487827e-10,2.5550232381632e-07,1.99338173555371e-07,"IRS2/ADAM9/HIF1A/RTN4/SRC/PTEN/ZEB2/PTK2/BMPR2/TGFB2/CLASP2/ARHGAP5/MTOR/ITGA2/SMAD4/PKN2/PROX1/PTPN11/ROCK1/RREB1/SASH1/CLASP1/MACF1/DAAM2/KITLG/MAP4K4/CAPN7/NANOS1/FGF7/EPB41L4B",30
"GO:0018105","peptidyl-serine phosphorylation","40/1671","159/18986",0.251572327044025,2.8583795339664,7.31012313721743,7.53454118352701e-10,3.44556014299609e-07,2.68816210953051e-07,"MAPK8/PTEN/UHMK1/HIPK3/NTRK3/EGFR/CAV1/STK4/ATM/WNK1/CSNK1A1/DMD/DYRK1A/MTOR/GSK3B/PDE4D/MAPK1/ROCK1/RPS6KA3/RPS6KB1/TFRC/TNKS/LATS1/MORC3/HIPK2/CAB39/LRRK2/RICTOR/PDK3/TENM1/PIKFYVE/ATR/NCK1/NSD1/TTBK2/PAQR3/PRKX/PTGS2/MAPKAP1/NOS1",40
"GO:0030111","regulation of Wnt signaling pathway","67/1671","349/18986",0.191977077363897,2.1812548119874,6.91911548401557,7.79131707409101e-10,3.44556014299609e-07,2.68816210953051e-07,"XIAP/TMEM170B/SRC/CAPRIN2/ZEB2/EGFR/CAV1/STK4/RECK/APC/YAP1/FOXO1/NLK/WNK1/CSNK1A1/DAB2/DDX3X/GNAQ/GRB10/GSK3B/RBPJ/SMAD4/MLLT3/PPM1A/PPP2R3A/SALL1/SOX2/TPBG/TNKS/SEMA5A/LATS1/SPIN1/WIF1/MACF1/DAAM2/NPHP3/UBR5/VPS35/RNF213/SMURF2/CDC73/TBL1XR1/TNKS2/DIXDC1/LRRK2/AMER1/PRICKLE1/UBAC2/BICC1/CCNYL1/CTNND2/CSNK1E/WWOX/CXXC4/PCDH11Y/AMER2/TMEM196/PPM1B/DISC1/ANKRD6/CDK14/TBL1X/SNX3/TMEM237/FGF2/HMGXB4/FZD7",67
"GO:0090130","tissue migration","31/1671","105/18986",0.295238095238095,3.35451255307629,7.51563086638606,9.15267632567857e-10,3.75848115688044e-07,2.93229727997868e-07,"IRS2/ADAM9/HIF1A/RTN4/SRC/PTEN/ZEB2/PTK2/BMPR2/TGFB2/CLASP2/ARHGAP5/MTOR/ITGA2/SMAD4/PKN2/PROX1/PTPN11/ROCK1/RREB1/SASH1/CLASP1/MACF1/DAAM2/KITLG/MAP4K4/CAPN7/GRHL2/NANOS1/FGF7/EPB41L4B",31
"GO:0008286","insulin receptor signaling pathway","35/1671","130/18986",0.269230769230769,3.05901578971597,7.31794003058758,1.22528734142962e-09,4.69611795058594e-07,3.66382411356605e-07,"IRS2/PRKAA1/PRKCB/FER/SRC/OSBPL8/IRS1/PIK3R1/GAB1/APC/FOXO1/GRB10/GSK3B/IDE/IGF1R/PDPK1/PIK3C2A/PIK3CA/PIP4K2A/MAPK1/PTPN11/PTPRA/RPS6KB1/PHIP/NUCKS1/NDEL1/SESN3/STXBP4/SORBS1/BAIAP2/NCK1/SIK2/ZNF106/OGT/SOCS7",35
"GO:0018209","peptidyl-serine modification","41/1671","171/18986",0.239766081871345,2.72423628390745,7.03598656516236,2.18759374729482e-09,7.86029778324869e-07,6.13245852448896e-07,"MAPK8/PTEN/UHMK1/HIPK3/NTRK3/EGFR/CAV1/STK4/ATM/WNK1/CSNK1A1/DMD/DYRK1A/MTOR/GALNT3/GSK3B/PDE4D/MAPK1/ROCK1/RPS6KA3/RPS6KB1/TFRC/TNKS/LATS1/MORC3/HIPK2/CAB39/LRRK2/RICTOR/PDK3/TENM1/PIKFYVE/ATR/NCK1/NSD1/TTBK2/PAQR3/PRKX/PTGS2/MAPKAP1/NOS1",41
"GO:0002009","morphogenesis of an epithelium","85/1671","500/18986",0.17,1.9315499700778,6.55770629639534,2.36074247444551e-09,7.98347557975719e-07,6.22855955641629e-07,"HIF1A/FOXP1/SRC/PTEN/BCL2/GJA1/KRAS/LIN7C/CD44/APAF1/COL4A1/EGFR/TGFB2/TP63/PODXL/STK4/NOTCH2/CASP3/MET/YAP1/ERBB4/MED1/CLASP2/CLIC4/ACVR1/ATP7A/EFNB2/EPHA7/MTOR/GRSF1/RBPJ/ITGAV/ITGB1/SMAD4/MEF2C/MYO9A/PAFAH1B1/PCDH8/PGR/PRKACB/PROX1/RET/RREB1/SALL1/SOX11/FZD5/FZD3/DLG5/HS3ST3B1/EXOC5/GNA13/FRS2/TMED2/FERMT2/RPGRIP1L/CLASP1/NPHP3/SIX4/BTBD7/FRAS1/PRICKLE1/IRX2/PTCH1/FMN1/FAT1/FST/LMO4/FLRT3/SETD2/INTU/KIF26B/CSMD1/FEM1B/LHX1/MIB1/GRHL2/PRKX/WT1/FGF7/ARHGAP24/LRP2/NRP1/PKHD1/FGF2/TCF21",85
"GO:0071375","cellular response to peptide hormone stimulus","62/1671","321/18986",0.193146417445483,2.19454092257327,6.70535582858365,2.60734375635324e-09,8.32756625293042e-07,6.49701271685447e-07,"IRS2/CRK/PRKAA1/PRKCB/FER/SRC/OSBPL8/NCOA2/PTK2/IRS1/FBN1/CAV1/PIK3R1/GAB1/APC/ATP2B1/FOXO1/PPP3CA/MTOR/GRB10/GSK3B/IDE/IGF1R/MAP1B/MYO5A/PDPK1/PIK3C2A/PIK3CA/PIP4K2A/PRKAR1A/MAPK1/PTPN11/PTPRA/ROCK1/RPS6KB1/NR4A3/CUL3/KBTBD2/LEPROT/PHIP/MBD5/NUCKS1/NDEL1/CPEB2/SESN3/STXBP4/SORBS1/RAP1GDS1/BAIAP2/NCK1/HDAC9/NCOA1/FAT1/SIK2/PLCB1/ARID1B/ZNF106/OGT/SOCS7/LEPROTL1/CPEB1/PAX6",62
"GO:0060537","muscle tissue development","78/1671","447/18986",0.174496644295302,1.98264110627804,6.53112227813661,3.27356860423132e-09,9.4221958476966e-07,7.3510224216633e-07,"PPARA/FOXP1/PRKAA1/SKIL/BCL2/GJA1/KRAS/DDX5/CFL2/RUNX1/TGFB2/CAV1/NOTCH2/CREB1/YAP1/ERBB4/MED1/PPP3CA/CTCF/ACVR1/KLF5/CCNT2/DMD/RCAN1/EFNB2/MTOR/FOXN2/IFRD1/RBPJ/ITGB1/SMAD4/MEF2C/MYLK/NF1/PRKAR1A/PROX1/RPS6KB1/MAP2K4/SOX11/NR2F2/ZFAND5/SORBS2/COPS2/HOMER1/NR1D2/FRS2/AKAP13/SYNE1/HEY1/TENM4/SIX4/MTPN/PRICKLE1/PTCH1/PRKG1/PPP3CB/SOX6/HDAC9/COL19A1/HLF/TTN/AKAP6/GPCPD1/NLN/MYOCD/XK/ZFPM2/ZBTB18/LOX/CDON/PAX5/IGF1/RARB/WT1/LRP2/FGF2/FZD7/TCF21",78
"GO:0051960","regulation of nervous system development","80/1671","463/18986",0.172786177105832,1.96320667775662,6.51833377064847,3.27785557408127e-09,9.4221958476966e-07,7.3510224216633e-07,"HIF1A/CAPRIN1/SKIL/SLC30A1/RTN4/PTEN/KRAS/PLAG1/CAPRIN2/BMPR2/EGFR/ANKRD27/MAN2A1/NIN/DICER1/MYB/CTSC/YAP1/LDLR/PTPRD/EIF4G2/PPP3CA/RELN/ROBO1/FMR1/EFNA5/ANXA2/EPHA7/ETV5/MTOR/IFRD1/IL6ST/ITGB1/MAP1B/MME/NF1/PAFAH1B1/PLXNA2/PPP1CC/PROX1/HLTF/SOX11/SYT4/TPBG/FZD3/FXR1/SEMA5A/DLG5/QKI/RAPGEF2/HEY1/MACF1/DAAM2/TENM4/BCL11A/SLITRK4/DHX36/VCAN/NRXN1/BAIAP2/SEMA6D/FLRT2/FLRT3/SLITRK3/LRRTM2/DIP2B/PRTG/GRID2/DISC1/KIAA0319/PAX6/CDON/CXCL12/YTHDF2/RARB/LRP2/NRP1/MAP2K1/MTMR2/FGF2",80
"GO:0014706","striated muscle tissue development","75/1671","424/18986",0.17688679245283,2.00979810982013,6.53261968592354,3.56695547327626e-09,9.76496524565011e-07,7.61844474768428e-07,"PPARA/FOXP1/PRKAA1/SKIL/BCL2/GJA1/KRAS/DDX5/CFL2/RUNX1/TGFB2/CAV1/NOTCH2/CREB1/YAP1/ERBB4/MED1/PPP3CA/CTCF/ACVR1/KLF5/CCNT2/DMD/RCAN1/EFNB2/MTOR/FOXN2/IFRD1/RBPJ/ITGB1/SMAD4/MEF2C/NF1/PRKAR1A/PROX1/RPS6KB1/MAP2K4/SOX11/NR2F2/SORBS2/COPS2/HOMER1/NR1D2/FRS2/AKAP13/SYNE1/HEY1/TENM4/SIX4/MTPN/PRICKLE1/PRKG1/PPP3CB/SOX6/HDAC9/COL19A1/HLF/TTN/AKAP6/GPCPD1/NLN/MYOCD/XK/ZFPM2/ZBTB18/LOX/CDON/PAX5/IGF1/RARB/WT1/LRP2/FGF2/FZD7/TCF21",75
"GO:0031346","positive regulation of cell projection organization","67/1671","363/18986",0.184573002754821,2.09712928204849,6.55644730420868,4.20684332244995e-09,1.09932464821658e-06,8.57672698419102e-07,"CAPRIN1/SKIL/SLC30A1/SRC/CAPRIN2/TWF1/BMPR2/NTRK3/ANKRD27/NIN/PIK3R1/APC/PTPRD/EIF4G2/RELN/ROBO1/FMR1/EFNA5/ABL2/ATP7A/DMD/EPS8/MTOR/GSK3B/IGF1R/ITGA6/ITGA2/MAP1B/PAFAH1B1/PIK3CA/PLXNA2/RET/RREB1/ENC1/SEMA5A/CBFA2T2/RAPGEF2/ABI2/FUT9/NCKAP1/PUM2/MACF1/AUTS2/RAB8B/BCL11A/CCDC88A/KIDINS220/NDEL1/DHX36/RAB3IP/TENM3/BAIAP2/TENM1/NCK1/CNTN1/WASL/MAGI2/CAMK1D/DISC1/ZDHHC15/CXCL12/NDNF/SNX3/TOX/NRP1/MAP2K1/PLPPR5",67
"GO:0001952","regulation of cell-matrix adhesion","33/1671","125/18986",0.264,2.99958348294434,6.96778060295124,6.1920342442616e-09,1.54773934218521e-06,1.20751752470474e-06,"SRC/PTEN/BCL6/BCL2/CDK6/THBS1/PTK2/PIK3R1/RASA1/CLASP2/EFNA5/DUSP3/GPM6B/GSK3B/NF1/PTPRA/ROCK1/UTRN/CASK/ONECUT2/SLK/FERMT2/LIMCH1/CLASP1/MACF1/RIN2/PEAK1/FMN1/POSTN/MAP4K4/DISC1/NRP1/PKHD1",33
"GO:0032869","cellular response to insulin stimulus","46/1671","213/18986",0.215962441314554,2.45377792387679,6.62831758939931,8.44432024655714e-09,2.02276654572737e-06,1.57812493730614e-06,"IRS2/PRKAA1/PRKCB/FER/SRC/OSBPL8/NCOA2/IRS1/PIK3R1/GAB1/APC/ATP2B1/FOXO1/MTOR/GRB10/GSK3B/IDE/IGF1R/MYO5A/PDPK1/PIK3C2A/PIK3CA/PIP4K2A/MAPK1/PTPN11/PTPRA/RPS6KB1/CUL3/KBTBD2/PHIP/NUCKS1/NDEL1/CPEB2/SESN3/STXBP4/SORBS1/BAIAP2/NCK1/HDAC9/NCOA1/SIK2/ZNF106/OGT/SOCS7/CPEB1/PAX6",46
"GO:0072001","renal system development","62/1671","332/18986",0.186746987951807,2.12183022935548,6.40608168187187,1.0033291981999e-08,2.3072558241805e-06,1.80007819517044e-06,"ARID5B/BCL2/NFIA/APAF1/COL4A1/FBN1/TGFB2/PODXL/NOTCH2/YAP1/ERBB4/PPP3CA/ACVR2B/EFNB2/EPHA7/HELLS/SMAD4/MEF2C/MME/NF1/PROX1/RET/SALL1/SOX11/CUL3/DLG5/HS3ST3B1/ADAMTS6/NUP160/RPGRIP1L/CD2AP/NIPBL/PYGO1/NPHP3/RRM2B/SIX4/FRAS1/LRRK2/AMER1/PRICKLE1/IRX2/EDNRB/PTCH1/BICC1/FMN1/OSR2/PCSK5/MAGI2/KIF26B/TBC1D32/LHX1/MYOCD/C1GALT1/PRKX/RARB/WT1/LRP2/NRP1/PKHD1/FGF2/COL4A4/TCF21",62
"GO:0150115","cell-substrate junction organization","29/1671","103/18986",0.281553398058252,3.19902622114541,6.95177650581187,1.05079451762595e-08,2.32346833916599e-06,1.81272689862517e-06,"SRC/PTEN/BCL2/THBS1/LAMC1/PTK2/PIK3R1/CDH11/CLASP2/EFNA5/DST/DUSP3/GPM6B/ITGA6/ITGA2/PTPRA/ROCK1/SLK/FERMT2/LIMCH1/CLASP1/MACF1/RAB8B/PEAK1/PRICKLE1/SORBS1/FMN1/MAP4K4/NRP1",29
"GO:0051962","positive regulation of nervous system development","57/1671","297/18986",0.191919191919192,2.18059711416982,6.37043645066074,1.4398314413185e-08,3.06577442820002e-06,2.39186033974976e-06,"HIF1A/CAPRIN1/SKIL/SLC30A1/KRAS/PLAG1/CAPRIN2/BMPR2/EGFR/ANKRD27/MAN2A1/NIN/DICER1/MYB/PTPRD/EIF4G2/RELN/ROBO1/FMR1/EFNA5/ETV5/MTOR/IL6ST/ITGB1/MAP1B/MME/PAFAH1B1/PLXNA2/PPP1CC/SOX11/TPBG/FZD3/FXR1/SEMA5A/DLG5/QKI/MACF1/TENM4/BCL11A/SLITRK4/DHX36/VCAN/NRXN1/BAIAP2/FLRT2/FLRT3/SLITRK3/LRRTM2/GRID2/DISC1/PAX6/CDON/CXCL12/LRP2/NRP1/MAP2K1/FGF2",57
"GO:0001764","neuron migration","42/1671","189/18986",0.222222222222222,2.52490192167032,6.54501763162809,1.55211676938344e-08,3.18682832399479e-06,2.48630434373791e-06,"SATB2/CRK/GJA1/ERBB4/RELN/DCX/APBB2/MAP1B/MEF2C/NEO1/PAFAH1B1/PEX13/NR2F2/TOP2B/FZD3/CUL5/USP9X/RAPGEF2/ABI2/CHL1/ZNF609/NIPBL/AUTS2/NDEL1/NAV1/FAT3/CEP85L/PLAA/PRKG1/FLRT2/SEMA6A/LHX1/SOCS7/DISC1/UNC5C/NTNG1/KIAA0319/PAX6/CXCL12/NDNF/NRP1/NRP2",42
"GO:0050767","regulation of neurogenesis","68/1671","383/18986",0.177545691906005,2.01728456404992,6.24787923363371,1.64237582983207e-08,3.25586849851882e-06,2.54016820722848e-06,"HIF1A/CAPRIN1/SKIL/SLC30A1/RTN4/PTEN/KRAS/PLAG1/CAPRIN2/BMPR2/EGFR/ANKRD27/MAN2A1/NIN/DICER1/MYB/YAP1/LDLR/PTPRD/EIF4G2/PPP3CA/RELN/ROBO1/FMR1/EFNA5/ANXA2/EPHA7/ETV5/MTOR/IFRD1/IL6ST/ITGB1/MAP1B/MME/NF1/PAFAH1B1/PLXNA2/PPP1CC/PROX1/HLTF/SOX11/SYT4/FZD3/FXR1/SEMA5A/QKI/RAPGEF2/HEY1/MACF1/DAAM2/TENM4/BCL11A/DHX36/VCAN/BAIAP2/SEMA6D/DIP2B/PRTG/DISC1/KIAA0319/PAX6/CDON/CXCL12/YTHDF2/LRP2/NRP1/MAP2K1/FGF2",68
"GO:0030177","positive regulation of Wnt signaling pathway","36/1671","152/18986",0.236842105263158,2.69101389020127,6.50249405240066,2.88773292900581e-08,5.53385886961814e-06,4.31741403876974e-06,"XIAP/SRC/CAPRIN2/ZEB2/EGFR/RECK/YAP1/WNK1/DAB2/DDX3X/RBPJ/MLLT3/PPM1A/PPP2R3A/SALL1/TNKS/SEMA5A/SPIN1/MACF1/DAAM2/UBR5/VPS35/SMURF2/CDC73/TBL1XR1/TNKS2/DIXDC1/LRRK2/AMER1/CSNK1E/PCDH11Y/PPM1B/DISC1/ANKRD6/TBL1X/FGF2",36
"GO:0035329","hippo signaling","20/1671","57/18986",0.350877192982456,3.98668724474262,7.01528981351,3.48682676344087e-08,6.46637647194245e-06,5.04494697420087e-06,"SRC/TEAD1/STK4/YAP1/SOX11/SLMAP/LATS1/DLG5/CIT/MOB4/SCHIP1/ARRDC3/FAT4/WWC2/FRMD6/STRN3/SIKE1/MAP4K4/AMOTL1/SHANK2",20
"GO:1901888","regulation of cell junction assembly","52/1671","268/18986",0.194029850746269,2.20457854354797,6.16957256068505,4.22643709851682e-08,7.59305839980412e-06,5.92396331473032e-06,"RTN4/SRC/PTEN/THBS1/LIN7C/PTK2/CAV1/PTPRD/CLASP2/EFNA5/DUSP3/EPHA7/GPM6B/MAP1B/MEF2C/PTPRA/RAP1B/ROCK1/TPBG/FZD5/LIN7A/LATS1/DLG5/RAPGEF2/DOCK4/SLK/GNA13/FERMT2/LIMCH1/MYCBP2/CLASP1/PUM2/MACF1/SIX4/SETD5/VPS35/PEAK1/SLITRK4/PRICKLE1/FMN1/SLC12A5/NRXN1/MAP4K4/FLRT2/FLRT3/SLITRK3/LRRTM2/LRFN5/OGT/GRID2/IGSF11/NRP1",52
"GO:0099173","postsynapse organization","49/1671","246/18986",0.199186991869919,2.2631742834484,6.19481460312127,4.37726958216611e-08,7.62573419026454e-06,5.94945636032211e-06,"CAPRIN1/CRK/SLC30A1/RTN4/PTEN/CAPRIN2/PTPRD/RELN/SLC7A11/ADAM10/EPHA7/IGF1R/MAP1B/NF1/PAFAH1B1/LATS1/DLG5/HOMER1/DOCK4/ABI2/GNA13/STK38L/PUM2/TANC2/VPS35/ENAH/LRRK2/PRICKLE1/DHX36/ARF1/SLC12A5/NRXN1/BAIAP2/CNKSR2/CTNND2/WASL/FLRT2/SLITRK3/LRRTM2/SHANK2/GRID2/LRRC4/DISC1/PLPPR4/NLGN4Y/ZDHHC15/NRP1/MTMR2/NRP2",49
"GO:0010634","positive regulation of epithelial cell migration","18/1671","48/18986",0.375,4.26077199281867,7.02677863992878,5.1329202103524e-08,8.67916420273998e-06,6.77132291526674e-06,"IRS2/ADAM9/HIF1A/RTN4/SRC/PTK2/BMPR2/TGFB2/CLASP2/ARHGAP5/MTOR/ITGA2/RREB1/CLASP1/MAP4K4/CAPN7/FGF7/EPB41L4B",18
